[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[152]	validation_0-merror:0.29788	validation_0-mlogloss:2.12051	validation_1-merror:0.43864	validation_1-mlogloss:2.69784
[153]	validation_0-merror:0.29760	validation_0-mlogloss:2.11511	validation_1-merror:0.43864	validation_1-mlogloss:2.69465
[154]	validation_0-merror:0.29718	validation_0-mlogloss:2.10969	validation_1-merror:0.43864	validation_1-mlogloss:2.69162
[155]	validation_0-merror:0.29562	validation_0-mlogloss:2.10432	validation_1-merror:0.43864	validation_1-mlogloss:2.68872
[156]	validation_0-merror:0.29463	validation_0-mlogloss:2.09877	validation_1-merror:0.43777	validation_1-mlogloss:2.68559
[157]	validation_0-merror:0.29322	validation_0-mlogloss:2.09348	validation_1-merror:0.43690	validation_1-mlogloss:2.68294
[158]	validation_0-merror:0.29266	validation_0-mlogloss:2.08829	validation_1-merror:0.43690	validation_1-mlogloss:2.68020
[159]	validation_0-merror:0.29195	validation_0-mlogloss:2.08321	validation_1-merror:0.43603	validation_1-mlogloss:2.67753
[160]	validation_0-merror:0.29153	validation_0-mlogloss:2.07806	validation_1-merror:0.43603	validation_1-mlogloss:2.67467
[161]	validation_0-merror:0.29110	validation_0-mlogloss:2.07308	validation_1-merror:0.43603	validation_1-mlogloss:2.67181
[162]	validation_0-merror:0.29054	validation_0-mlogloss:2.06809	validation_1-merror:0.43603	validation_1-mlogloss:2.66878
[163]	validation_0-merror:0.28969	validation_0-mlogloss:2.06304	validation_1-merror:0.43603	validation_1-mlogloss:2.66582
